"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"211653_x_at",2104.62494883721,1612.19717674419,7.13776588295818,2.95187434171973e-10,9.53284289225228e-08,-4.31995673742528
"209298_s_at",705.333291627907,572.861137906977,7.12197757219478,3.17158954284142e-10,1.00960756833051e-07,-4.32074583889514
"206488_s_at",3057.834,3250.79997674419,7.08018143574067,3.83480937650576e-10,1.20353601882645e-07,-4.32283890119524
"203065_s_at",1621.52851162791,1445.60809302326,7.07241373835622,3.97244724599234e-10,1.22941724975621e-07,-4.32322854003077
"213068_at",1454.39329534884,1191.4287244186,7.04380087837537,4.52310844518261e-10,1.38066336279458e-07,-4.32466554093151
"200944_s_at",-2014.17088372093,4035.50269767442,-7.01803285526494,5.0835351791663e-10,1.51670179023839e-07,-4.3259619914087
"32837_at",1159.20681395349,2115.07394186047,7.01710697084248,5.10490662244217e-10,1.51670179023839e-07,-4.32600861556378
"213005_s_at",1171.38767441861,1770.96488372093,6.99198953993288,5.71995978459326e-10,1.67707715631699e-07,-4.32727450817645
"209210_s_at",2567.05088372093,3541.70034883721,6.98033436727239,6.02981886207999e-10,1.74496693121725e-07,-4.32786261501555
"209686_at",582.505834883721,531.650431395349,6.96744605811023,6.3918875348297e-10,1.8260311530591e-07,-4.32851345657391
"203680_at",1709.32489534884,1813.29490813953,6.92618663502923,7.70241078015692e-10,2.17256733435743e-07,-4.33060058535409
"209614_at",735.062065116279,614.269265116279,6.92066033567437,7.89708323657846e-10,2.19963382200847e-07,-4.33088054771381
"218237_s_at",-1473.13509302326,1473.85656976744,-6.89902353047802,8.70738651491796e-10,2.39539128039404e-07,-4.33197759566753
"205498_at",1495.48646511628,2059.68681395349,6.8949263062216,8.86986840458528e-10,2.41033265438261e-07,-4.33218550230374
"218124_at",1868.91265116279,2336.77953488372,6.885915235498,9.23787521959575e-10,2.46558131051007e-07,-4.33264293834038
"204134_at",511.685813953489,620.774046511628,6.8845609623665,9.29447695924455e-10,2.46558131051007e-07,-4.332711708269
"212636_at",1013.21255813954,1478.7353255814,6.86133308057413,1.03206132755392e-09,2.70557912492752e-07,-4.33389210570271
"58780_s_at",693.768109302326,680.599526744186,6.85191996490152,1.07677658586356e-09,2.78997821660437e-07,-4.33437093739378
"217232_x_at",4011.5678372093,3661.96115116279,6.84705784296654,1.10062046027363e-09,2.81897996738819e-07,-4.33461837323443
"201540_at",3634.02341860465,5071.8555,6.82952020199274,1.19105840588371e-09,3.01594937026211e-07,-4.33551147357706
"220061_at",456.867334883721,434.288790697674,6.81818675798392,1.25338395164701e-09,3.13810725781464e-07,-4.33608912465104
"201348_at",3401.82830232558,3742.96256976744,6.80790620653133,1.31271124667906e-09,3.25012718997217e-07,-4.33661344737121
"209183_s_at",959.666981395349,869.487020930233,6.78972992317358,1.4244954682119e-09,3.48813544155669e-07,-4.33754124154799
"202942_at",606.129251162791,605.540230232558,6.76437716345377,1.59633830687005e-09,3.86643548825927e-07,-4.33883699930923
"209512_at",475.412674418605,454.225995348837,6.74627964281803,1.73142621245269e-09,4.10558095227628e-07,-4.33976310944929
"200878_at",1858.64489069768,2139.85074069767,6.74621558712866,1.73192393086196e-09,4.10558095227628e-07,-4.33976638909754
"204997_at",834.609779069768,546.451573255814,6.72678053657315,1.88967571684224e-09,4.4323835787785e-07,-4.34076201516673
"213348_at",1354.912,1979.12381395349,6.71473012715558,1.99455597514651e-09,4.62965529106142e-07,-4.34137988822928
"221747_at",1471.56879069768,1573.89481395349,6.68376709286353,2.29124262288663e-09,5.26348034698793e-07,-4.34296939874507
"206068_s_at",544.012160465116,578.126426744186,6.66718567029581,2.46769670343318e-09,5.6096730203483e-07,-4.34382173804888
"200606_at",-1556.09337209302,2617.33703488372,-6.66496819203177,2.4922929094578e-09,5.6096730203483e-07,-4.34393578236247
"204223_at",1132.72453255814,1141.80798953488,6.66108352664752,2.53596837128095e-09,5.65089832172533e-07,-4.34413560289962
"203337_x_at",1109.44859069767,1048.84839534884,6.6448103996678,2.72732021697823e-09,6.01711647474513e-07,-4.34497312277145
"35776_at",1535.66339534884,2448.31248837209,6.63162964401563,2.89273918757315e-09,6.3195007173228e-07,-4.34565202816558
"221246_x_at",1100.0503255814,1585.87106976744,6.61353331701805,3.13614752804864e-09,6.78473547257358e-07,-4.34658490020789
"209513_s_at",805.334153488372,837.950290697674,6.59609859605532,3.38981040996258e-09,7.19886159835575e-07,-4.34748451076967
"201539_s_at",496.414323255814,562.50923372093,6.59594160207113,3.39218448066846e-09,7.19886159835575e-07,-4.34749261520945
"205610_at",606.481946511628,556.304770930233,6.58876969843842,3.50241228102991e-09,7.36266536398015e-07,-4.34786291845244
"211745_x_at",4373.90390697675,3023.9336744186,6.58247625359206,3.6020561121472e-09,7.4362335846697e-07,-4.34818797857899
"205824_at",122.548379069768,140.874938372093,6.5818833474174,3.61158702858347e-09,7.4362335846697e-07,-4.34821860800407
"201432_at",2564.8433255814,4080.14391860465,6.58027765697893,3.63752394529012e-09,7.4362335846697e-07,-4.34830156240381
"217047_s_at",1214.39639534884,2001.88370930233,6.57678799787918,3.69453061173468e-09,7.48411142011672e-07,-4.34848187159052
"206243_at",852.265039534884,559.453363953488,6.57236198507689,3.76810761499439e-09,7.56439116981261e-07,-4.34871060851062
"216894_x_at",292.572097674419,368.547486046512,6.56267671965246,3.93421290168157e-09,7.82732732930093e-07,-4.3492113259892
"210375_at",654.089134883721,780.627618604651,6.5589223876541,4.00053308828948e-09,7.8525242785328e-07,-4.34940548762824
"215039_at",946.411162790698,1091.1991627907,6.55797977235139,4.01735748217358e-09,7.8525242785328e-07,-4.34945424242338
"203986_at",1001.9833,954.122673255814,6.54837794058966,4.19277914074584e-09,8.12414761680343e-07,-4.34995101033299
"214093_s_at",-370.939925581395,546.0832,-6.52188480557834,4.71710498088984e-09,9.06131468010071e-07,-4.3513229299014
"213071_at",1716.96230465116,1175.85775465116,6.51101352809219,4.95058754372067e-09,9.42854207151518e-07,-4.35188641352823
"209550_at",1427.52618604651,2196.26227906977,6.50212070801575,5.15005596849817e-09,9.72520184713023e-07,-4.35234757438327
"214439_x_at",762.595930232559,938.64573255814,6.50022300639265,5.19364098105505e-09,9.72520184713023e-07,-4.35244601087745
"217028_at",-1016.80195348837,1549.86534883721,-6.45860444182059,6.24682314736174e-09,1.15929061947676e-06,-4.35460710963845
"213933_at",1568.50988372093,1986.86829069767,6.45686668638921,6.29512026911493e-09,1.15929061947676e-06,-4.35469743895779
"209581_at",1365.00072093023,993.098779069767,6.45307108147236,6.40189944248803e-09,1.16929119079476e-06,-4.35489476217907
"208607_s_at",992.219925581396,807.641355813954,6.43844517825574,6.83038157391066e-09,1.23740969602806e-06,-4.35565545461614
"201286_at",-676.787197674419,572.646096511628,-6.39118110663888,8.4185011985609e-09,1.51281824360913e-06,-4.35811719879229
"204731_at",1014.05246744186,1324.06730116279,6.37846992914241,8.90464583649405e-09,1.57694457902861e-06,-4.35878016591686
"206100_at",538.032574418605,685.969503488372,6.37815876754732,8.91688807420925e-09,1.57694457902861e-06,-4.35879639968175
"219689_at",813.271000000001,1703.54454651163,6.37058910737234,9.21988801801681e-09,1.61769106067298e-06,-4.35919138969927
"210869_s_at",794.139513953489,1012.3587244186,6.33118590813871,1.09693580809046e-08,1.90961098528748e-06,-4.36124960727122
"202768_at",1622.04106976744,1317.18395348837,6.32686226859367,1.1180258339628e-08,1.93123795799946e-06,-4.36147566650678
"218677_at",-657.265255813954,898.593302325581,-6.31721026979098,1.16656392466035e-08,1.99958030255436e-06,-4.36198046735853
"204159_at",1384.0506627907,1026.45561046512,6.30999469172491,1.20420502107866e-08,2.04834354845006e-06,-4.36235797865582
"201963_at",2553.68440697675,2662.54598488372,6.3051258724987,1.23027976457172e-08,2.07684272681452e-06,-4.36261277520397
"212071_s_at",1953.61925581395,2496.18141860465,6.28516211709661,1.34315775380034e-08,2.25034467879196e-06,-4.36365806871919
"216834_at",-802.766695348838,949.608884883721,-6.26878131126146,1.44337451263535e-08,2.40020255709354e-06,-4.36451640643768
"205609_at",691.227325581396,1037.77501162791,6.25716729569456,1.51887051278141e-08,2.50703641750431e-06,-4.36512531704004
"218186_at",-507.692183720931,472.260456976744,-6.23207802571369,1.6955353840181e-08,2.77805992368201e-06,-4.36644169105472
"201719_s_at",1013.65779069768,1273.76408139535,6.22957906717417,1.71420610310509e-08,2.78814997047377e-06,-4.36657287720546
"201131_s_at",-1506.54392093023,1274.15831860465,-6.22501928093818,1.74879901658735e-08,2.8238035135229e-06,-4.36681228242491
"210299_s_at",1736.53646744186,1641.47948023256,6.22032081833423,1.78516541049751e-08,2.86178711094359e-06,-4.36705901333201
"206101_at",1663.02304651163,2730.96843023256,6.21447340229389,1.83146968752155e-08,2.91504564621733e-06,-4.367366142403
"201450_s_at",-241.2249,328.409968604651,-6.21026591798053,1.86551979354668e-08,2.94818280564544e-06,-4.36758717891947
"201243_s_at",-1036.64058139535,1734.98159302326,-6.20425104262646,1.91528518877686e-08,3.00551407475456e-06,-4.36790322739593
"210832_x_at",908.797441860466,1114.19865116279,6.19705100626309,1.97658300367179e-08,3.08001392103626e-06,-4.36828164533219
"209602_s_at",-868.467818604652,652.088337209302,-6.18855088701521,2.0514469418197e-08,3.17447168087281e-06,-4.36872852616616
"212112_s_at",625.410534883721,730.282779069767,6.16823199515343,2.24194107646372e-08,3.44532227633386e-06,-4.36979733959358
"201425_at",2688.52741860465,3175.46543023256,6.15583144930181,2.36667511917148e-08,3.61209737537658e-06,-4.37045002800152
"202193_at",-535.198020930233,667.458801162791,-6.1518400348131,2.40826313650689e-08,3.6505664946111e-06,-4.37066017447404
"219298_at",475.734769767442,437.747122093023,6.14193542119292,2.51460558589022e-08,3.78601055881025e-06,-4.37118177995287
"204271_s_at",432.591976744186,745.366755813953,6.13722209097307,2.56682616837843e-08,3.83869714832058e-06,-4.37143006279742
"207275_s_at",1441.08934883721,1708.26744186047,6.13459215455461,2.59642800479068e-08,3.85708034871672e-06,-4.37156861745286
"205968_at",-619.463148837209,793.041448837209,-6.1232306590703,2.72823069409962e-08,4.02603738785575e-06,-4.37216733128809
"201005_at",-1470.79953953488,1197.09734651163,-6.11810748610777,2.78980384779852e-08,4.08981573292727e-06,-4.37243738432227
"218502_s_at",-473.77611627907,968.626127906977,-6.09655353810132,3.06422918023481e-08,4.46275940020734e-06,-4.37357406452845
"33322_i_at",-1601.00153488372,2964.46923255814,-6.0834935632155,3.24329810458487e-08,4.69288387431589e-06,-4.374263210453
"204326_x_at",1093.94305813954,1655.20226162791,6.05841910128732,3.6165292643393e-08,5.19916913530792e-06,-4.37558717842661
"211458_s_at",804.296213953489,850.339323255814,6.0525929743392,3.70914398211438e-08,5.27283375558049e-06,-4.37589496260945
"212281_s_at",-478.628465116279,350.048653488372,-6.05205331165926,3.71784019753226e-08,5.27283375558049e-06,-4.37592347499678
"202464_s_at",1464.97851162791,2073.14437209302,6.05076021582792,3.73875929354987e-08,5.27283375558049e-06,-4.37599179608539
"200911_s_at",1754.4183255814,3283.82618604651,6.04597337712879,3.81721408641478e-08,5.34962147720633e-06,-4.3762447348745
"202912_at",1572.90730232558,2484.27927906977,6.04376961411934,3.85387694596443e-08,5.36724624918284e-06,-4.37636119582039
"204653_at",-1274.65630232558,1927.03940697674,-6.03193503624396,4.05678540667074e-08,5.61474218738163e-06,-4.37698675065707
"202309_at",596.622744186047,1203.24258139535,6.0293229650712,4.10297071301448e-08,5.6436108887717e-06,-4.37712485168956
"209016_s_at",-546.913834883721,343.955387209302,-6.02212631792632,4.23291828341565e-08,5.78663301284361e-06,-4.37750539923887
"212845_at",650.917837209303,1176.02770930233,5.99122265043628,4.83864615497462e-08,6.5431118332709e-06,-4.37914049666539
"221295_at",664.906325581396,899.015023255814,5.99091869269354,4.84500943539783e-08,6.5431118332709e-06,-4.37915658651598
"201650_at",-2249.53403488372,1416.56520581395,-5.97733560825245,5.13795082880676e-08,6.89692519989765e-06,-4.37987574839592
"202976_s_at",508.851418604651,800.429895348837,5.96428534708564,5.43582549318803e-08,7.25308380028196e-06,-4.38056696930671
"210762_s_at",1180.06251162791,1812.43353488372,5.94414360749429,5.92929369035024e-08,7.86443162512347e-06,-4.38163430512894
"1007_s_at",-1022.59223255814,2152.66772093023,-5.93827540754128,6.08119387427835e-08,8.01818006512098e-06,-4.38194538198307
"204039_at",901.225069767443,1230.078,5.93047318046657,6.2891115641526e-08,8.24354546964778e-06,-4.38235906089213
"216331_at",520.475060465117,448.475381395349,5.92533898857048,6.42973644748926e-08,8.37858580464346e-06,-4.38263132710001
"203296_s_at",479.231590697675,575.617388372093,5.88249723723831,7.73058032514029e-08,9.96169583934875e-06,-4.38490467381403
"218665_at",2375.09488372093,5174.98674418605,5.88239343247486,7.73402764532304e-08,9.96169583934875e-06,-4.38491018515287
"207071_s_at",1370.51165116279,2364.94152325581,5.88073476742417,7.78931723663434e-08,9.97525034390362e-06,-4.3849982511357
